MEGR3241_GPS_Logger_McLaren_Atlas_Compatible
time,GPSmph,GPStrack,GPSlat,GPSlong,GPSalt,GPSsats
22:41:45.851,nan,nan,0.0,0.0,nan,sats
22:41:45.938,0.04472,0.0,35.302738333,-80.718865333,nan,sats
22:41:45.940,0.04472,0.0,35.302738333,-80.718865333,221.2,sats
22:41:45.943,0.04472,0.0,35.302738333,-80.718865333,221.2,sats
22:41:45.945,0.082732,67.4347,35.302738318,-80.718865144,220.644,sats
22:41:46.042,0.082732,67.4347,35.302738318,-80.718865144,220.644,sats
22:41:46.046,0.04472,244.2188,35.302738377,-80.718865073,220.6,sats
22:41:46.144,0.058136,0.0,35.302738333,-80.718865167,221.1,sats
22:41:46.239,0.058136,10.8386,35.302738509,-80.718865002,220.562,sats
22:41:46.291,0.029068,220.4416,35.302738567,-80.718864931,220.519,sats
22:41:46.345,0.038012,0.0,35.3027385,-80.718865,221.0,sats
22:41:46.441,0.07826,337.9708,35.302738677,-80.718864843,220.467,sats
22:41:46.491,0.071552,353.8856,35.302738706,-80.718864807,220.445,sats
22:41:46.544,0.073788,0.0,35.302738667,-80.718864833,220.9,sats
22:41:46.641,0.058136,202.736,35.302738779,-80.718864645,220.416,sats
22:41:46.691,0.062608,31.1435,35.302738748,-80.718864519,220.404,sats
22:41:46.739,0.051428,0.0,35.302738833,-80.7188645,220.9,sats
22:41:46.837,0.029068,132.6567,35.302738954,-80.718864448,220.372,sats
22:41:46.881,0.069316,84.6799,35.302739077,-80.718864269,220.335,sats
22:41:46.944,0.082732,0.0,35.302739,-80.718864167,220.8,sats
22:41:47.041,0.049192,116.9263,35.30273915,-80.718864107,220.306,sats
22:41:47.045,0.0559,0.0,35.302739167,-80.718864,220.8,sats
22:41:47.141,0.029068,312.6567,35.302739222,-80.718863945,220.278,sats
22:41:47.191,0.026832,233.7773,35.302739359,-80.718863675,220.256,sats
22:41:47.244,0.031304,0.0,35.302739333,-80.718863667,220.7,sats
22:41:47.346,0.102856,341.0752,35.302739394,-80.71886344,220.251,sats
22:41:47.391,0.017888,180.0,35.302739406,-80.718863188,220.232,sats
22:41:47.446,0.013416,0.0,35.3027395,-80.718863167,220.7,sats
22:41:47.542,0.026832,233.7773,35.302739501,-80.718863044,220.217,sats
22:41:47.591,0.017888,180.0,35.302739462,-80.718862809,220.206,sats
22:41:47.646,0.02236,0.0,35.3027395,-80.718862833,220.7,sats
22:41:47.744,0.062608,6.6352,35.302739556,-80.718862665,220.191,sats
22:41:47.791,0.031304,186.6352,35.302739539,-80.718862448,220.193,sats
22:41:47.846,0.03354,0.0,35.3027395,-80.718862333,220.7,sats
22:41:47.945,0.017888,180.0,35.302739536,-80.71886214,220.211,sats
22:41:47.991,0.093912,76.1423,35.302739504,-80.718861868,220.251,sats
22:41:48.044,0.093912,76.1423,35.302739504,-80.718861868,220.251,sats
22:41:48.091,0.051428,35.0944,35.302739487,-80.718861651,220.253,sats
22:41:48.143,0.049192,0.0,35.3027395,-80.718861667,220.7,sats
22:41:48.241,0.06708,259.7291,35.302739433,-80.718861361,220.279,sats
22:41:48.291,0.017888,180.0,35.302739438,-80.718861162,220.296,sats
22:41:48.345,0.015652,0.0,35.3027395,-80.718861167,220.8,sats
22:41:48.443,0.051428,35.0944,35.302739443,-80.718860962,220.312,sats
22:41:48.491,0.035776,180.0,35.302739514,-80.718860655,220.336,sats
22:41:48.544,0.035776,0.0,35.3027395,-80.718860667,220.8,sats
22:41:48.643,0.02236,275.3949,35.302739533,-80.718860365,220.367,sats
22:41:48.691,0.073788,300.7584,35.302739598,-80.718860256,220.374,sats
22:41:48.745,0.062608,0.0,35.302739667,-80.718860167,220.9,sats
22:41:48.842,0.098384,116.9263,35.302739669,-80.718859948,220.398,sats
22:41:48.891,0.02236,275.3949,35.302739725,-80.718859731,220.406,sats
22:41:48.943,0.03354,0.0,35.302739833,-80.718859667,220.9,sats
22:41:49.040,0.017888,180.0,35.302739847,-80.718859406,220.422,sats
22:41:49.045,0.008944,0.0,35.302739833,-80.7188595,220.9,sats
22:41:49.140,0.091676,52.7875,35.302739896,-80.71885908,220.432,sats
22:41:49.191,0.049192,184.1879,35.302740012,-80.718858954,220.431,sats
22:41:49.245,0.049192,0.0,35.30274,-80.718859,220.9,sats
22:41:49.341,0.049192,79.8062,35.302740069,-80.718858737,220.439,sats
22:41:49.391,0.02236,275.395,35.302740126,-80.71885852,220.448,sats
22:41:49.446,0.029068,0.0,35.302740167,-80.7188585,220.9,sats
22:41:49.540,0.017888,180.0,35.302740169,-80.718858394,220.441,sats
22:41:49.591,0.04472,292.6606,35.302740212,-80.718858268,220.434,sats
22:41:49.644,0.035776,0.0,35.302740167,-80.718858333,220.9,sats
22:41:49.741,0.053664,60.6617,35.302740328,-80.718858141,220.433,sats
22:41:49.791,0.06708,275.395,35.30274032,-80.718858033,220.434,sats
22:41:49.845,0.069316,0.0,35.302740333,-80.718858,220.9,sats
22:41:49.944,0.02236,95.395,35.302740312,-80.718857924,220.436,sats
22:41:49.991,0.049192,79.8062,35.302740303,-80.718857816,220.437,sats
22:41:50.046,0.049192,79.8062,35.302740303,-80.718857816,220.437,sats
22:41:50.091,0.026832,247.4347,35.302740317,-80.718857725,220.452,sats
22:41:50.145,0.031304,0.0,35.302740333,-80.718857667,220.9,sats
22:41:50.241,0.024596,308.7878,35.302740368,-80.718857707,220.444,sats
22:41:50.291,0.013416,15.7899,35.302740382,-80.718857616,220.459,sats
22:41:50.346,0.020124,0.0,35.302740333,-80.718857667,220.9,sats
22:41:50.441,0.049192,116.9263,35.302740396,-80.718857526,220.474,sats
22:41:50.491,0.02236,275.395,35.302740447,-80.718857508,220.466,sats
22:41:50.546,0.02236,0.0,35.3027405,-80.7188575,221.0,sats
22:41:50.642,0.02236,275.395,35.302740461,-80.718857417,220.482,sats
22:41:50.691,0.038012,41.5999,35.302740518,-80.7188572,220.49,sats
22:41:50.747,0.042484,0.0,35.3027405,-80.718857167,221.0,sats
22:41:50.841,0.031304,6.6352,35.302740532,-80.718857109,220.505,sats
22:41:50.891,0.093912,256.1424,35.302740532,-80.718857109,220.505,sats
22:41:50.941,0.098384,0.0,35.3027405,-80.718857,221.0,sats
22:41:51.043,0.10062,65.9961,35.30274061,-80.71885691,220.527,sats
22:41:51.046,0.098384,0.0,35.302740667,-80.718857,221.0,sats
22:41:51.144,0.093912,114.921,35.302740551,-80.718856819,220.537,sats
22:41:51.191,0.06708,95.395,35.302740616,-80.718856711,220.544,sats
22:41:51.246,0.058136,0.0,35.302740667,-80.718856667,221.0,sats
22:41:51.346,0.029068,312.6567,35.30274063,-80.71885662,220.559,sats
22:41:51.391,0.0,0.0,35.302740583,-80.718856439,220.583,sats
22:41:51.446,0.002236,0.0,35.302740667,-80.7188565,221.1,sats
22:41:51.546,0.051428,215.0944,35.302740546,-80.718856365,220.607,sats
22:41:51.591,0.0,0.0,35.302740508,-80.718856292,220.63,sats
22:41:51.646,0.008944,0.0,35.3027405,-80.718856333,221.1,sats
22:41:51.743,0.02236,95.395,35.302740471,-80.718856219,220.653,sats
22:41:51.791,0.046956,72.3058,35.302740447,-80.718856056,220.691,sats
22:41:51.846,0.035776,0.0,35.3027405,-80.718856,221.2,sats
22:41:51.944,0.04472,275.395,35.302740417,-80.718856091,220.713,sats
22:41:51.991,0.049192,259.8062,35.30274038,-80.718856018,220.737,sats
22:41:52.044,0.049192,259.8062,35.30274038,-80.718856018,220.737,sats
22:41:52.091,0.087204,103.9871,35.302740342,-80.718855945,220.76,sats
22:41:52.147,0.07826,0.0,35.302740333,-80.718856,221.2,sats
22:41:52.239,0.091676,34.0151,35.302740304,-80.718855872,220.783,sats
22:41:52.281,0.07826,221.5999,35.302740193,-80.718855799,220.8,sats
22:41:52.340,0.084968,0.0,35.302740167,-80.718855833,221.3,sats
22:41:52.443,0.02236,95.395,35.302740104,-80.718855744,220.832,sats
22:41:52.491,0.04472,275.395,35.302740007,-80.71885558,220.864,sats
22:41:52.545,0.035776,0.0,35.30274,-80.7188555,221.3,sats
22:41:52.640,0.049192,184.1879,35.302739887,-80.718855398,220.883,sats
22:41:52.691,0.07826,41.5999,35.30273979,-80.718855234,220.916,sats
22:41:52.744,0.062608,0.0,35.302739833,-80.718855167,221.4,sats
22:41:52.841,0.064844,226.6413,35.302739619,-80.718855071,220.942,sats
22:41:52.891,0.071552,110.3087,35.302739513,-80.718854798,220.976,sats
22:41:52.943,0.069316,0.0,35.3027395,-80.718854833,221.5,sats
22:41:53.040,0.024596,308.7878,35.302739402,-80.718854725,220.994,sats
22:41:53.044,0.008944,0.0,35.302739333,-80.718854667,221.5,sats
22:41:53.142,0.06708,275.395,35.302739253,-80.718854579,221.034,sats
22:41:53.191,0.06708,26.0432,35.302739155,-80.718854415,221.067,sats
22:41:53.245,0.060372,0.0,35.302739167,-80.7188545,221.6,sats
22:41:53.340,0.060372,132.6567,35.302738993,-80.71885436,221.092,sats
22:41:53.391,0.013416,15.7899,35.30273877,-80.718854214,221.127,sats
22:41:53.444,0.015652,0.0,35.302738833,-80.718854167,221.6,sats
22:41:53.543,0.082732,311.5621,35.302738621,-80.718854068,221.168,sats
22:41:53.592,0.06708,142.8118,35.30273845,-80.718853904,221.195,sats
22:41:53.645,0.064844,0.0,35.3027385,-80.718853833,221.7,sats
22:41:53.740,0.0,0.0,35.302738168,-80.718853667,221.239,sats
22:41:53.791,0.029068,312.6567,35.302738079,-80.718853612,221.27,sats
22:41:53.844,0.035776,0.0,35.302738,-80.7188535,221.8,sats
22:41:53.943,0.053664,130.9501,35.302737797,-80.718853375,221.314,sats
22:41:53.991,0.02236,95.395,35.302737566,-80.71885312,221.35,sats
22:41:54.045,0.02236,95.395,35.302737566,-80.71885312,221.35,sats
22:41:54.091,0.10062,65.9961,35.302737431,-80.718852883,221.406,sats
22:41:54.146,0.10062,0.0,35.302737333,-80.718852833,221.9,sats
22:41:54.245,0.049192,259.8062,35.302737171,-80.718852664,221.464,sats
22:41:54.295,0.038012,221.5999,35.302736902,-80.718852337,221.524,sats
22:41:54.345,0.029068,0.0,35.302736833,-80.718852333,222.0,sats
22:41:54.441,0.02236,275.395,35.302736531,-80.718852045,221.599,sats
22:41:54.491,0.046956,72.3058,35.302736285,-80.718851735,221.672,sats
22:41:54.547,0.053664,0.0,35.302736167,-80.718851667,222.2,sats
22:41:54.644,0.02236,95.395,35.302735913,-80.718851442,221.748,sats
22:41:54.692,0.091676,236.8765,35.302735564,-80.718851168,221.837,sats
22:41:54.745,0.093912,0.0,35.3027355,-80.718851167,222.3,sats
22:41:54.843,0.053664,28.5609,35.302735236,-80.71885075,221.906,sats
22:41:54.901,0.038012,150.8388,35.302734865,-80.718850457,221.981,sats
22:41:54.945,0.038012,0.0,35.302734833,-80.7188505,222.5,sats
22:41:55.039,0.031304,186.6352,35.302734516,-80.718850183,222.071,sats
22:41:55.043,0.04472,0.0,35.3027345,-80.718850167,222.6,sats
22:41:55.139,0.064844,46.6413,35.302734209,-80.718849782,222.153,sats
22:41:55.191,0.06708,95.395,35.302733735,-80.718849526,222.245,sats
22:41:55.244,0.0559,0.0,35.302733833,-80.7188495,222.7,sats
22:41:55.340,0.02236,275.395,35.302733438,-80.718849233,222.326,sats
22:41:55.391,0.038012,221.5999,35.302733066,-80.718848941,222.402,sats
22:41:55.444,0.035776,0.0,35.302733,-80.718848833,222.9,sats
22:41:55.541,0.026832,53.7774,35.302732687,-80.718848541,222.478,sats
22:41:55.591,0.038012,41.5999,35.302732449,-80.718848339,222.55,sats
22:41:55.646,0.038012,0.0,35.302732333,-80.718848333,223.0,sats
22:41:55.746,0.053664,208.5609,35.302732055,-80.718848029,222.612,sats
22:41:55.791,0.038012,41.5999,35.302731817,-80.718847828,222.684,sats
22:41:55.847,0.026832,0.0,35.302731833,-80.718847833,223.2,sats
22:41:55.942,0.02236,95.395,35.302731557,-80.718847609,222.742,sats
22:41:55.991,0.013416,15.7899,35.302731335,-80.718847463,222.777,sats
22:41:56.046,0.013416,15.7899,35.302731335,-80.718847463,222.777,sats
22:41:56.091,0.062608,186.6352,35.302731023,-80.718847261,222.843,sats
22:41:56.148,0.051428,0.0,35.302731,-80.718847333,223.3,sats
22:41:56.245,0.076024,330.8388,35.302730823,-80.718847133,222.891,sats
22:41:56.291,0.029068,132.6567,35.302730572,-80.718847022,222.948,sats
22:41:56.347,0.024596,0.0,35.3027305,-80.718847,223.4,sats
22:41:56.439,0.073788,250.4792,35.302730246,-80.718846912,222.999,sats
22:41:56.491,0.049192,79.8062,35.302730038,-80.718846675,223.049,sats
22:41:56.546,0.038012,0.0,35.30273,-80.718846667,223.5,sats
